rank,place,population,lat,lon
1,New York,8550405,40.71455,-74.007124
2,Los Angeles,3971883,34.05349,-118.245319
3,Chicago,2720546,41.88415,-87.632409
4,Houston,2296224,29.76045,-95.369784
5,Philadelphia,1567442,39.95228,-75.162454
6,Phoenix,1563025,33.44826,-112.075774
7,San Antonio,1469845,29.42449,-98.494619
8,San Diego,1394928,32.715695,-117.161719
9,Dallas,1300092,32.778155,-96.795404
10,San Jose,1026908,37.338475,-121.885794
11,Austin,931830,30.267605,-97.742984
12,Jacksonville,868031,30.33147,-81.656219
13,San Francisco,864816,37.777125,-122.419644
14,Indianapolis,853173,39.76691,-86.149964
15,Columbus,850106,39.96196,-83.002984
16,Fort Worth,833319,32.748855,-97.329389
17,Charlotte,827097,35.22269,-80.837764
18,Seattle,684451,47.60356,-122.329439
19,Denver,682545,39.74001,-104.992259
20,El Paso,681124,31.759165,-106.487494
21,Detroit,677116,42.331685,-83.047924
22,Washington,672228,38.89037,-77.031959
23,Boston,667137,42.358635,-71.056699
24,Memphis,655770,35.149766,-90.049259
25,Nashville-Davidson,654610,36.167783,-86.778365
26,Portland,632309,45.511795,-122.675629
27,Oklahoma City,631346,35.472015,-97.520354
28,Las Vegas,623747,36.171915,-115.139974
29,Baltimore,621849,39.290585,-76.609264
30,Louisville/Jefferson County,615366,38.25486,-85.766404
31,Milwaukee,600155,43.04181,-87.906844
32,Albuquerque,559121,35.08418,-106.648639
33,Tucson,531641,32.221553,-110.969754
34,Fresno,520052,36.740685,-119.785734
35,Sacramento,490712,38.579065,-121.491014
36,Kansas City,475378,39.11338,-94.626824
37,Long Beach,474140,33.766725,-118.192399
38,Mesa,471825,33.417045,-111.831459
39,Atlanta,463878,33.748315,-84.391109
40,Colorado Springs,456568,38.83345,-104.821814
41,Virginia Beach,452745,36.75502,-76.059204
42,Raleigh,451066,35.78551,-78.642669
43,Omaha,443885,41.260675,-95.940469
44,Miami,441003,25.728985,-80.237419
45,Oakland,419267,37.805065,-122.273024
46,Minneapolis,410939,44.979035,-93.264929
47,Tulsa,403505,36.149745,-95.993334
48,Wichita,389965,37.68698,-97.335579
49,New Orleans,389617,29.9564,-90.0758
50,Arlington,388125,38.89051,-77.086294