Make,Honda,Toyota,Honda,Ford,Honda,Toyota,Lexus,Toyota,Lexus,Lexus,Nissan,Lexus,Saturn,Chevrolet,Chevrolet,Saturn,Dodge,Chevrolet,Ford,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mazda,BMW,BMW,Honda,Lincoln,Porsche,Lexus,Volkswagen,Infinity,Hyundai,Buick,Buick,Porsche,Kia,Acura,Ford,Lexus,Audi,Toyota,Volkswagen,Mercedes-Benz,Infiniti,Chevrolet,Infiniti,Nissan,Subaru,Acura,Lexus,Toyota,Acura,Kia,Hyundai,Chevrolet,Toyota,Ford,Honda,Ford,Porsche,Cadillac,BMW,Porsche,Mercedes-Benz,Volvo,BMW,Hyundai,Audi,BMW,Mercedes-Benz,BMW,Mercedes-Benz,Kia,Nissan,Smart,Mitsubishi,BMW,Ford,Honda,Tesla,Toyota,Chevrolet,Fiat,BMW,Mercedes-Benz,Volkswagen,Kia,Tesla,Chevrolet,Hyundai,Toyota,Honda
2012-04,738,23514,766,0,0,552,801,4406,10,28,10,8,0,144,1557,0,0,42,778,8,0,0,16,-1,29,334,397,104,1620,12,23,1847,1165,130,26,837,,,,,,,,,,,,,,,,,,,1462,1654,,,,,,,,,,,,,,,,,,370,0,79,30,,,,,,,,,,,,,,,
2012-05,512,20391,708,206,0,560,1011,4403,42,21,9,6,0,161,1642,0,0,62,683,7,0,0,0,1,26,296,480,150,1549,18,78,1869,1202,174,73,810,34,,,,,,,,,,,,,,,,,,1680,1086,,,,,,,,,,,,,,,,,,510,0,85,11,6,,,,,,,,,,,,,,
2012-06,494,18455,548,17,0,496,1193,3471,75,10,3,6,0,124,2002,0,0,38,797,8,3,0,0,1,9,409,451,42,1387,25,73,1884,1245,219,25,933,115,,,,,,,,,,,,,,,,,,1760,695,,,,,,,,,,,,,,,,,,535,127,33,79,89,,,,,,,,,,,,,,
2012-07,419,15955,471,50,0,469,1171,3197,60,5,7,1,0,132,1938,0,0,48,1109,5,2,0,0,1,21,330,594,60,1499,27,59,1888,867,233,35,848,110,0,,,,,,,,,,,,,,,,,1849,688,,,,,,,,,,,,,,,,,,395,6,33,0,38,7,,,,,,,,,,,,,
2012-08,341,20064,579,34,0,449,1170,3840,94,7,0,0,0,135,2414,0,0,96,1071,11,2,0,0,0,25,392,998,69,1472,17,60,1766,1024,331,48,907,136,0,817,,,,,,,,,,,,,,,,2831,1047,,,,,,,,,,,,,,,,,,685,1,37,0,34,9,100,,,,,,,,,,,,
2012-09,246,17280,493,81,0,413,944,3704,89,8,3,1,0,110,1656,0,0,29,898,9,2,0,0,0,40,335,781,84,1195,5,45,1560,840,463,86,902,140,969,1400,25,,,,,,,,,,,,,,,2851,1652,,,,,,,,,,,,,,,,,,984,0,36,0,59,16,150,61,,,,,,,,,,,
2012-10,251,14885,453,9,0,466,997,2986,68,3,3,5,0,146,1266,0,0,72,956,10,0,0,0,-1,321,244,465,106,1199,11,66,1510,978,287,48,745,144,3038,1520,33,,,,,,,,,,,,,,,2961,1889,144,,,,,,,,,,,,,,,,,1579,0,30,-2,118,16,450,47,,,,,,,,,,,
2012-11,238,14739,530,21,0,485,971,3936,60,3,1,2,0,171,1041,0,0,188,1834,4,0,0,0,2,214,244,282,108,1264,44,71,1589,724,211,67,681,174,3589,1424,90,,,,,,,,,,,,,,,1519,1766,1259,,,,,,,,,,,,,,,,,1539,3,42,0,172,26,800,32,,,,,,,,,,,
2012-12,310,18679,512,82,0,588,1394,4443,52,2,0,6,0,224,1381,0,0,192,3244,10,0,0,0,-1,206,243,321,84,1598,18,76,1874,819,181,46,751,119,3339,1866,122,747,162,,,,,,,,,,,,,2633,1361,971,,,,,,,,,,,,,,,,,1489,0,77,0,167,19,900,52,,,,,,,,,,,
2013-01,319,14898,429,0,0,452,744,3826,34,0,0,14,0,97,981,0,0,19,3043,12,3,0,0,0,77,358,100,60,1001,21,37,1192,576,184,46,909,84,2387,1324,90,1040,232,22,,,,,,,,,,,,1140,874,338,2,0,,,,,,,,,,,,,,,650,1,257,0,81,8,1350,25,,,,,,,,,,,
2013-02,388,17119,433,0,17,441,756,4147,38,1,0,22,0,91,1254,0,0,21,3806,9,6,0,0,0,133,381,177,32,1182,43,46,1441,706,375,5,1215,154,2849,1154,76,1361,272,22,,,,,,,,,,,,1626,693,334,17,119,,,,,,,,,,,,,,,653,1,337,0,158,15,1450,52,,,,,,,,,,,
2013-03,454,21354,572,0,0,477,925,4461,56,1,0,12,0,109,1359,0,0,18,3417,8,0,0,0,0,133,451,446,46,1062,12,58,1623,717,387,11,1001,145,3275,1561,84,1616,451,25,,,,,,,,,,,,1478,786,494,26,295,,,,,,,,,,,,,,,2236,0,31,0,180,23,1950,133,,,,,,,,,,,
2013-04,391,19290,569,0,0,495,688,3257,34,0,0,15,0,116,1551,0,0,27,3625,7,0,0,0,0,223,405,884,46,1171,7,35,1447,662,389,5,1000,152,3197,1237,86,1423,353,17,,,,,,,,,,,,1306,599,411,55,364,,,,,,,,,,,,,,,1937,0,127,0,147,22,2100,70,,,,,,,,,,,
2013-05,426,22844,570,0,0,545,885,4265,39,0,0,11,0,154,1695,0,0,20,3335,8,0,0,0,0,138,427,715,48,1623,6,42,1817,668,291,7,1206,195,3261,1434,105,1514,473,29,,,,,,,,,,,,1607,678,450,58,416,,,,,,,,,,,,,,,2138,60,91,0,157,15,2000,84,,,,,,,,,,,
2013-06,384,20495,568,0,0,550,900,3878,55,1,0,10,0,120,1651,0,0,13,3057,5,0,0,0,0,134,393,768,62,1513,12,47,2129,619,227,4,1100,163,2889,1239,83,1394,438,23,,,,,,,,,,,,2698,584,455,42,390,,,,,,,,,,,,,,,2225,53,39,0,177,208,1800,44,27,,,,,,,,,,
2013-07,420,22477,578,0,0,410,962,4193,63,2,0,6,0,58,1338,0,0,10,2914,8,2,0,0,0,129,384,646,39,1306,3,33,2200,530,183,29,1241,110,2267,1324,47,1139,417,26,,,,,,,,,,,,1788,817,433,54,407,,,,,,,,,,,,,,,1864,58,46,0,150,63,1550,109,103,,,,,,,,,,
2013-08,438,25567,697,0,0,440,1116,4729,69,0,0,5,0,83,1582,0,0,13,3694,2,0,0,0,0,95,483,791,43,1784,7,44,2303,803,214,0,1601,125,2411,1600,73,1467,712,29,0,,,,,,,,,,,3351,1791,621,44,600,,,,,,,,,,,,,,,2420,182,30,0,175,66,1700,231,102,50,,,,,,,,,
2013-09,299,14738,402,0,0,325,815,3069,31,0,0,3,0,45,858,0,0,6,2265,0,0,0,0,0,59,264,619,67,798,3,33,2102,423,185,2,1272,108,1424,1223,73,1104,887,27,47,,,,,,,,,,,1766,1152,758,51,750,,,,,,,,,,,,,,,1953,137,20,0,110,35,1100,167,78,50,,,,,,,,,
2013-10,463,13528,1158,0,23,331,1258,2903,34,0,0,6,0,55,819,0,0,9,2577,0,0,0,0,0,85,325,717,59,842,1,34,1318,552,178,4,1151,137,1438,1367,56,1398,666,22,51,5,,,,,,,,,,2022,2095,1092,71,1087,,,,,,,,,,,,,,,2002,111,28,0,115,40,1300,0,87,50,,,,,,,,,
2013-11,402,15029,1031,0,530,332,1105,2994,25,0,0,5,0,51,425,0,0,7,2769,3,0,0,0,0,106,295,852,58,1002,1,33,1866,430,187,0,1233,44,1457,1393,38,1532,394,20,118,16,302,0,,,,,,,,1920,1100,941,68,870,4,0,,,,,,,,,,,,,2003,153,12,0,130,23,1400,62,87,60,,,,,,,,,
2013-12,418,14801,712,0,426,272,1153,2726,44,0,0,6,0,57,266,0,0,6,2768,2,0,0,0,0,144,384,754,55,1787,2,33,2121,447,93,0,990,44,1201,1706,43,1480,360,20,91,35,374,334,,,,,,,,2392,919,827,38,791,47,6,,,,,,,,,,,,,2529,167,11,0,158,51,1700,28,76,50,,,,,,,,,
2014-01,317,11402,439,0,525,145,637,1978,30,0,0,11,0,21,232,0,0,1,2607,1,1,0,0,0,34,267,726,45,1290,3,44,1340,445,78,0,777,27,947,866,36,970,224,23,59,34,238,265,470,,,,,,,918,803,471,27,533,141,41,,,,,,,,,,,,,1252,97,1,0,100,30,1300,63,93,35,,,,,,,,,
2014-02,339,11820,443,0,910,105,621,2517,23,0,0,11,0,12,202,0,0,3,3096,2,2,0,0,0,39,318,919,64,1230,0,14,1907,506,88,0,960,42,1301,945,24,613,232,15,328,38,135,191,546,,,,,,,1210,1041,552,24,779,57,58,,,,,,,,,,,,,1425,122,3,0,129,33,1400,101,71,40,,,,,,,,,
2014-03,410,17130,338,0,1346,333,852,4287,25,0,0,7,0,26,191,0,0,1,3903,1,0,0,0,0,43,354,1411,96,1480,4,19,2430,536,95,0,1879,46,1685,1384,35,1600,276,9,380,49,167,237,725,,,,,,,1478,1452,610,18,899,56,81,,,,,,,,,,,,,2507,186,24,0,177,37,1300,73,108,166,,,,,,,,,
2014-04,441,16270,450,0,1442,418,387,3916,35,0,0,9,0,14,130,0,0,3,3537,0,0,0,0,0,25,369,1047,84,1054,3,11,2055,716,41,0,1060,49,1586,1242,21,1522,149,39,263,34,114,183,711,,,,,,,1548,1741,525,37,743,63,61,,,,,,,,,,,,,2088,203,12,0,116,50,1400,69,97,152,,,,,,,,,
2014-05,493,24101,415,0,1530,355,837,5199,9,0,0,5,0,14,94,0,0,4,4641,0,7,0,0,0,30,389,1128,75,1762,3,12,2094,772,64,0,735,63,2051,1408,25,1957,209,16,294,58,137,238,1003,,,,,,,1684,2692,782,46,1342,53,52,,,,,,,,,,,,,3117,206,35,0,177,33,1400,149,182,167,336,,,,,,,,
2014-06,333,17078,410,0,1135,280,872,3874,15,0,0,5,0,21,62,0,0,9,3016,0,0,0,0,0,37,302,787,72,1521,6,11,1523,610,75,0,1006,44,1952,1102,19,1437,206,13,242,63,108,191,788,,,,,,,1777,1571,988,28,1939,111,97,,,,,,,,,,,,,2347,278,22,0,197,38,1400,91,85,166,358,,,,,,6,,
2014-07,291,19304,409,0,1362,214,914,4609,8,0,0,6,0,6,30,0,0,1,2851,0,0,0,0,0,16,356,638,159,1979,2,8,2800,462,34,0,1155,35,2163,1358,22,1767,156,5,246,43,112,221,746,,,,,,,2020,1371,831,41,1226,63,188,,,,,,,,,,,,,3019,298,17,0,198,42,1400,68,128,119,363,41,,,,,10,,
2014-08,290,22619,503,0,1175,288,1090,4320,13,0,0,4,0,7,21,0,0,1,2943,0,0,0,0,0,16,342,758,14,2191,4,5,1910,545,47,0,1318,24,2451,1628,31,2049,151,7,266,63,130,237,747,,,,,,,2511,818,1050,46,1222,68,196,9,,,,,,,,,,,,3186,208,20,0,264,55,1200,228,80,166,1025,51,,,,,10,,
2014-09,240,13924,360,0,1095,303,695,1986,3,0,0,0,0,2,10,0,0,1,1972,1,0,0,0,0,32,248,645,13,1078,1,6,2134,587,32,0,1003,15,1109,1128,19,1437,114,12,274,35,109,160,571,31,,,,,,1394,353,677,42,640,82,111,58,,,,,,,,,,,,2881,182,15,0,176,29,1300,125,51,137,1022,65,0,,,,6,,
2014-10,222,13032,395,0,1130,327,728,2161,2,0,0,2,0,5,17,0,0,1,2164,0,0,0,0,0,9,205,662,18,1158,1,13,1181,704,40,0,1483,15,1318,1182,24,1330,97,5,296,32,114,166,617,36,,,,,,1439,479,644,34,686,97,152,204,,,,,,,,,,,,2589,150,17,0,186,23,1300,97,58,140,1159,98,1,109,,,1,,
2014-11,278,13506,432,0,1094,425,788,2220,9,0,0,1,0,6,14,0,0,4,2323,1,0,0,0,0,10,188,569,10,1322,1,17,781,772,46,0,1101,10,1296,1194,16,1212,68,5,422,23,146,187,575,37,,,,,,1336,451,644,43,752,57,155,126,45,,,,,,,,,,,2687,313,18,0,191,5,1450,83,61,100,816,193,119,140,,,10,,
2014-12,311,13922,476,0,1233,428,930,2448,11,0,0,4,0,3,15,0,0,1,2372,4,10,0,0,0,17,224,743,0,1608,2,20,897,698,22,0,1299,9,1303,1400,11,1154,57,9,386,93,168,204,427,29,354,,,,,1490,492,659,63,789,31,118,158,67,,,,,,,,,,,3102,351,12,0,53,32,1900,37,131,115,1013,326,237,110,,,12,,
2015-01,223,11843,320,0,805,268,521,2143,8,0,0,5,0,3,6,0,0,2,1782,0,0,0,0,0,7,196,468,0,1005,2,19,672,326,12,0,844,3,765,746,8,912,50,30,297,19,129,184,512,14,163,,,,,542,401,395,28,426,61,92,85,83,,,,,,,,,,,1070,147,3,0,85,0,1300,7,86,119,670,240,181,69,,,6,,
2015-02,211,11621,358,0,832,256,494,2110,10,0,0,7,0,8,8,0,0,0,2416,0,0,0,0,0,1,175,480,0,978,1,14,1605,514,20,0,856,5,878,758,10,864,36,3,365,19,179,212,549,21,164,,,,,693,397,498,12,603,40,127,113,106,,,,,,,,,,,1198,76,2,0,145,0,1400,2,119,117,1089,109,130,48,,,3,,
2015-03,209,15565,351,0,948,295,641,2739,9,0,0,7,0,1,8,0,0,0,2534,0,2,0,0,0,11,255,717,0,1416,3,22,1793,497,21,0,805,4,1054,1076,9,902,45,13,390,29,195,258,587,18,225,,,,,639,473,715,5,837,44,92,143,72,,,,,,,,,,,1817,103,10,0,140,1,2000,4,151,164,922,145,195,63,,,3,,
2015-04,183,14807,386,0,1118,305,492,2650,12,0,0,5,0,4,4,0,0,0,1820,1,2,0,0,0,3,216,810,0,1170,0,15,2481,531,28,0,892,2,1237,789,7,906,41,0,299,49,170,167,552,15,210,,,,,905,428,553,5,711,30,104,138,88,,,,,,,,,,,1553,124,16,0,124,0,1900,4,920,450,406,158,309,73,,,1,,
2015-05,139,18836,458,0,1463,323,551,3174,8,0,0,7,0,0,2,0,0,0,2440,0,0,0,0,0,7,246,1005,0,1436,6,14,2943,498,23,0,1046,4,1892,911,17,1114,55,2,342,53,188,223,557,24,250,,,,,1618,727,715,5,986,21,116,117,111,,,,,,,,,,,2104,102,18,0,165,0,2300,0,283,471,818,278,410,108,,,2,,
2015-06,126,14587,391,0,1241,311,486,2755,7,0,0,1,0,9,27,0,0,1,1691,0,5,0,0,0,8,204,700,0,1118,2,12,2334,341,17,0,897,1,1814,711,5,973,66,0,347,24,180,215,493,27,203,,,,,1225,464,667,4,727,34,62,137,89,,,,,,,,,,,2074,94,23,0,152,0,2800,0,226,411,551,242,293,109,,,2,,
2015-07,113,17340,463,0,1481,304,530,2756,11,0,0,5,0,0,1,0,0,0,2157,0,1,0,0,0,6,270,725,0,1374,1,11,1837,322,8,0,873,0,1225,891,8,1175,91,2,381,23,226,234,559,28,234,,,,,1313,584,693,1,852,23,66,217,77,10,,,,,,,,,,1174,109,12,0,135,0,1800,0,57,353,935,196,313,59,,,0,2,
2015-08,85,17413,590,0,1369,377,599,3314,4,0,0,3,0,0,0,0,0,0,2441,0,0,0,0,0,3,333,713,0,1504,0,13,1647,275,16,0,1167,0,1501,1281,5,1322,98,2,384,27,240,212,455,34,206,,,,,1380,344,723,2,949,36,45,210,83,10,4,,,,,,,,,1393,106,6,0,176,0,1600,0,135,370,792,172,381,93,,,1,0,
2015-09,64,15894,613,0,854,367,443,2629,7,0,0,3,0,0,1,0,0,0,2002,0,0,0,0,0,2,310,596,0,1131,0,12,1185,200,13,0,1136,2,1247,907,3,1064,77,0,356,5,231,186,370,26,170,,,,,949,216,719,0,808,41,36,182,70,17,0,,,,,,,,,1247,94,3,0,145,0,2400,0,157,347,1710,147,343,105,6,,5,2,
2015-10,53,15112,455,0,442,375,514,2545,7,0,0,1,0,0,1,0,0,0,2050,0,0,0,0,0,0,316,646,0,1077,0,14,1342,199,11,0,1262,0,912,895,5,993,64,1,381,11,220,168,211,14,188,,,,,2035,91,695,0,849,28,82,149,126,25,1,,,,,,,,,1238,75,9,0,126,1,2100,1,177,231,986,81,596,109,10,,1,38,
2015-11,30,12531,239,0,289,318,958,1964,5,0,0,0,0,0,0,0,0,0,1388,0,0,0,0,0,4,236,676,0,984,1,14,931,194,9,0,844,0,815,833,7,798,52,0,189,1,149,102,319,13,196,64,,,,1980,44,639,1,944,33,67,118,121,21,7,285,15,,,,,,,1054,178,4,0,93,0,3100,0,166,174,723,41,472,83,15,,0,23,
2015-12,22,15054,263,0,223,516,1493,1861,3,0,0,3,0,0,1,0,0,0,1960,0,0,0,0,0,11,316,867,0,1464,0,16,1138,145,8,0,870,1,837,1443,13,933,65,0,281,12,249,84,425,16,364,1430,,,,2114,22,579,1,1058,16,135,656,137,35,74,607,0,,,,,,,1347,179,9,0,96,0,3500,0,152,270,1422,97,609,96,177,,0,15,
2016-01,19,9301,161,0,71,375,790,1256,5,0,0,3,0,0,0,0,0,0,1373,0,0,0,0,0,2,192,491,0,622,0,10,964,118,3,0,469,0,637,622,3,583,46,1,175,12,119,65,261,0,245,1973,,,,996,10,350,0,581,27,67,32,146,19,226,181,175,327,,,,,,755,48,2,0,66,0,1300,0,139,217,182,58,328,81,400,,2,26,
2016-02,0,10544,143,0,68,396,752,1599,5,0,0,2,0,0,0,0,0,0,1764,0,0,0,0,0,0,128,585,0,762,0,10,1588,87,7,0,386,0,880,633,0,590,39,0,202,4,137,72,278,12,236,2462,,,,1126,6,490,0,932,33,91,54,172,36,176,345,200,248,,,,,,930,54,5,0,81,0,1900,0,216,195,248,37,198,60,500,,3,30,
2016-03,2,12068,166,0,51,492,886,1746,8,0,0,4,0,0,2,0,0,0,2057,0,0,0,0,0,1,163,608,0,972,0,12,1884,83,7,0,436,0,1092,894,5,776,47,1,335,4,195,87,329,19,251,3073,,,,1865,7,610,0,1238,23,104,89,244,12,178,313,275,332,29,,,,,1246,70,1,0,110,0,3000,0,252,373,332,66,86,79,1500,,4,41,
2016-04,9,11921,92,0,29,442,899,1975,16,0,0,5,0,0,1,0,0,0,2035,0,0,0,0,0,2,253,613,0,577,0,11,1788,115,14,0,483,1,1621,700,2,715,46,0,147,3,66,56,303,19,222,3807,,,,1983,4,607,0,1331,25,95,130,237,29,150,655,250,321,25,,,,,787,66,6,0,81,0,1700,0,419,372,814,56,326,139,1500,,4,41,
2016-05,9,12513,83,0,15,473,719,2055,7,0,0,2,0,0,246,0,0,0,1716,0,0,0,0,0,8,234,805,0,797,0,10,2513,42,7,0,570,0,1327,735,2,660,47,1,95,2,85,60,303,18,229,4185,,,,1901,4,538,0,1453,26,45,146,191,27,110,500,250,361,67,,,,,979,75,2,0,54,0,1500,0,394,388,696,49,269,120,2000,,4,40,
2016-06,9,11016,62,0,31,528,684,1649,3,0,0,1,0,0,371,0,0,0,2542,0,0,0,0,0,0,235,766,0,785,0,10,1242,60,4,0,483,0,1486,646,2,619,44,4,94,10,88,57,214,0,183,3751,2,,,1937,11,630,0,1700,22,94,169,176,27,166,583,200,353,26,19,,,,1096,53,4,0,54,0,2800,0,359,278,608,44,248,134,2000,,8,40,
2016-07,5,12690,60,0,565,524,684,2214,12,0,0,2,0,0,416,0,0,0,3519,0,0,0,0,0,3,272,681,0,849,1,10,1301,55,2,0,768,0,1112,705,1,707,87,2,112,0,74,55,193,11,228,4692,21,,,2406,4,755,0,1341,21,15,166,148,32,178,649,350,349,81,30,,,,1063,62,20,0,58,0,2400,0,333,274,1479,50,344,179,1500,,8,52,
2016-08,9,12982,50,0,890,506,574,2155,3,0,0,11,0,0,522,0,0,0,3002,0,0,0,0,0,0,222,541,0,819,0,9,1146,60,0,0,654,0,879,692,2,775,128,1,150,0,65,58,117,19,224,4919,22,,,2081,2,707,0,1422,59,6,145,197,30,176,876,250,346,51,24,,,,1066,55,25,0,75,0,3200,0,292,311,1013,57,454,153,1900,,2,371,
2016-09,1,12471,38,0,1160,383,387,1902,4,0,0,6,0,0,618,0,0,0,3776,0,0,0,0,0,7,165,460,0,638,0,8,1815,35,0,0,591,0,739,497,1,688,76,2,174,0,63,80,79,24,233,4127,38,,,2031,4,689,0,1652,28,6,158,131,41,148,482,275,312,54,26,,,,1316,44,17,0,82,0,4100,0,315,370,391,51,529,217,2600,,4,69,
2016-10,0,8132,14,0,1296,356,535,1802,0,0,0,0,0,0,600,0,0,0,4915,0,0,0,0,0,23,168,450,0,564,0,9,1479,53,0,0,482,0,398,353,0,673,48,0,148,0,59,64,44,13,188,3551,67,,,2191,0,571,0,1372,38,3,199,138,174,142,406,250,348,92,19,,,,1412,43,4,0,73,0,1200,0,260,319,442,58,407,190,1000,,0,103,
2016-11,3,9714,15,0,1879,483,666,1693,1,0,0,2,0,0,769,0,0,0,3372,0,0,0,0,0,18,146,552,0,550,0,7,1867,31,0,0,423,0,811,434,0,639,45,2,134,0,64,68,27,33,241,3757,51,,,2531,781,721,0,1817,88,5,173,179,52,161,436,275,394,215,30,,,,1457,47,5,0,66,0,1800,0,39,287,629,52,305,179,1400,,0,105,
2016-12,9,10803,12,0,3124,1018,985,2181,6,0,0,2,0,0,790,0,0,0,3577,0,0,0,0,0,0,160,667,0,968,0,12,1374,26,1,0,397,,895,734,0,1026,56,0,232,0,99,94,25,31,362,4773,68,,,3691,1641,1289,0,1099,3,3,133,152,71,204,569,250,589,240,83,23,171,,1899,40,3,0,101,0,5300,0,17,353,791,54,443,197,3300,579,1,116,
2017-01,1,6463,16,0,1711,571,443,1238,6,0,0,0,0,0,339,0,0,0,4856,0,0,0,0,0,0,89,467,0,393,0,5,1113,18,3,0,279,0,473,242,0,448,13,1,128,0,44,73,13,11,179,2898,50,42,4,1611,1366,473,0,606,2,3,50,177,55,96,262,150,387,129,52,18,210,40,772,15,0,0,56,0,1200,0,4,305,382,53,332,117,1000,1162,2,83,42
2017-02,0,7682,8,0,1867,1339,507,1333,5,0,0,0,0,0,534,0,0,1,4939,0,0,0,0,0,0,118,570,0,458,0,4,1471,12,0,0,257,,676,330,0,464,12,0,138,0,53,90,6,27,184,3080,46,2143,1,1820,1362,639,0,837,1,0,58,121,51,83,275,250,400,144,59,35,51,61,1037,22,1,0,228,0,1700,0,4,283,318,56,293,152,800,952,5,110,27